description,font,color_palette,font_encoded,color_palette_encoded,description_sequence,description_length,contains_modern,contains_minimalist,contains_vintage,contains_bold,contains_elegant,palette_complexity,cluster
A modern tech startup website,Rouge Script,"#b96460,#563371,#b78936,#82dc2c,#28b34e",84,50,[ 2  9 10 83  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],29,1,0,0,0,0,5,0
A vintage coffee shop menu,Patua One,"#35ae97,#4917e8,#3edec7,#2d0b25,#f8bb90",76,17,[ 2 45 84 46 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],26,0,0,1,0,0,5,0
A minimalist photography portfolio,Numans,"#a90421,#cd8643,#dc2b6c,#10c5bb,#15c835",71,46,[ 2 28 29 13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],34,0,1,0,0,0,5,0
A vibrant fashion e-commerce site,Bangers,"#68f006,#e8aca2,#01b2fe,#f07642,#aa299d",13,29,[ 2 14 47 85 86  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0],33,0,0,0,0,0,5,1
A cozy bookstore flyer,Brawler,"#6779b6,#c2610f,#0ea5e3,#4b906a,#cd97bc",18,28,[ 2 48 87  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],22,0,0,0,0,0,5,1
A professional corporate business website,Delius Unicase,"#b7ee81,#8e29cd,#7aa04c,#004ddd,#6a04cd",28,49,[ 2 30 88 89  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],41,0,0,0,0,0,5,1
A playful kids' educational app,Linefont,"#e88eb6,#21dd51,#8c771e,#f6386b,#715d9e",51,60,[ 2 49 90 50 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],31,0,0,0,0,0,5,0
A bold and colorful travel blog,Belgrano,"#317734,#c586d7,#d2d66d,#81d385,#f067a9",15,14,[ 2 31 19 32 51 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0],31,0,0,0,1,0,5,1
A sleek and modern real estate brochure,Water Brush,"#317734,#c586d7,#d2d66d,#81d385,#f067a9",94,14,[ 2 33 19  9 91 92 12  0  0  0  0  0  0  0  0  0  0  0  0  0],39,1,0,0,0,0,5,0
A retro-themed music festival poster,Zhi Mang Xing,"#0580b1,#2a2e61,#35f598,#79f619,#946cdc",96,4,[ 2 34 93 52 35  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0],36,0,0,0,0,0,5,0
A classic wedding invitation card,GFS Didot,"#5bc97d,#c9a81d,#016bfb,#7a2e3c,#287276",32,25,[ 2 53 94 16 95  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],33,0,0,0,0,0,5,1
